movieId,imdbId,tmdbId
1,114709,862
2,113497,8844
3,113228,15602
4,114885,31357
5,113041,11862
6,113277,949
7,114319,11860
8,112302,45325
9,114576,9091
10,113189,710
11,112346,9087
12,112896,12110
13,112453,21032
14,113987,10858
15,112760,1408
16,112641,524
17,114388,4584
18,113101,5
19,112281,9273
20,113845,11517
21,113161,8012
22,112722,1710
23,112401,9691
24,114168,12665
25,113627,451
26,114057,16420
27,114011,9263
28,114117,17015
29,112682,902
30,115012,37557
31,112792,9909
32,114746,63
33,112431,9598
34,112818,687
35,113442,33689
36,112697,9603
37,112749,34615
38,114279,31174
39,112819,11443
40,114272,35196
41,113855,9312
42,114681,577
43,113347,11861
44,114369,807
45,114148,10530
46,114916,8391
47,114814,629
48,113819,11448
49,110299,49133
50,112499,26441
51,113158,97406
52,113321,9089
53,110877,11010
54,113419,11359
55,116260,17182
56,113862,2054
57,116126,10607
58,118002,19760
59,115683,9536
60,116839,11525
61,113149,4482
62,113118,10634
63,116367,755
64,113010,11859
65,113537,28387
66,113828,48750
67,115644,20927
68,115676,36929
69,114367,9102
70,113973,124626
71,112744,27526
72,116731,9623
73,112445,46785
74,114660,400
75,112379,880
76,114039,146599
77,112365,8447
78,118158,10534
79,116151,17414
80,115697,13997
81,113972,2086
82,117002,9095
83,114825,12158
84,115639,9283
85,115759,9208
86,113403,40154
87,113247,406
88,113283,63076
89,115907,11062
90,115734,13685
91,117102,47475
92,118040,2045
93,116483,9614
94,112579,688
95,110251,11907
96,117110,10874
97,112646,89333
98,112573,197
99,75314,103
100,113326,33542
101,115645,43566
102,112373,51352
103,115033,16934
104,116606,10324
105,114536,78406
106,106473,32119
107,103859,11066
108,109424,11104
109,116324,2074
110,110647,27793
111,110217,290157
112,114131,110972
113,113451,11863
114,116130,9101
115,113756,5757
116,118055,9302
117,115685,11000
118,112585,16388
119,112442,9737
120,112342,30765
121,112461,10474
122,112427,22279
123,109093,30157
124,112384,568
125,114287,11780
126,112288,34996
127,112462,414
128,61395,649
129,112495,1873
130,112541,5894
131,109370,1775
132,112642,8839
133,112688,20649
134,112715,10329
135,112740,8963
136,109508,26564
137,112851,8068
138,112857,8512
139,112864,1572
140,112887,13552
141,113071,6520
142,113114,9073
143,113243,10428
144,113464,17447
145,113481,9886
146,113492,9482
147,113500,19326
148,113540,9344
149,113677,9071
150,113690,8973
151,107447,15730
152,113729,47608
153,113749,2293
154,113820,9070
155,110604,48787
156,110620,34574
157,113957,1642
158,113986,11472
159,114095,36196
160,114194,11980
161,114241,58372
162,114323,32646
163,114345,10533
164,114436,10802
165,114478,10149
166,114496,18402
167,114508,9348
168,114558,281
169,58450,5967
170,114663,47939
171,114702,36834
172,114682,9090
173,114781,3512
174,114798,52856
175,114805,77350
176,114887,9560
177,114898,9804
178,114928,31611
179,114938,65796
180,109340,49805
181,112602,26258
182,111579,50797
183,110882,19155
184,112471,76
185,112508,11017
186,112438,37141
187,112571,9382
188,112757,6715
189,112643,18256
190,112679,22625
191,109445,2292
192,112883,1909
193,109635,8984
194,109676,4954
195,112854,62488
196,109579,10531
197,109642,11929
198,109686,8467
199,111797,10451
200,109759,20156
201,109758,18395
202,109707,522
203,113117,397
204,113097,10525
205,113028,27985
206,113198,15789
207,113303,27303
208,113089,21183
209,109771,10954
210,113199,47867
211,110057,14275
212,110005,1024
213,110066,17207
214,110116,13701
215,110006,14819
216,113360,32631
217,110099,11777
218,110148,628
219,113463,87729
220,110189,18713
221,110216,6280
222,113501,9061
223,113538,37108
224,113552,6071
225,76759,11
226,110367,9587
227,113670,19101
228,110296,49980
229,103994,18183
230,110322,4476
231,110443,11008
232,107566,32325
233,110391,43742
234,113691,28313
235,110428,11318
236,109836,3036
237,113755,40490
238,110538,24070
239,110516,8986
240,110527,10510
241,113808,17402
242,113896,38722
243,113870,8438
244,110684,11593
245,110638,1945
246,113967,39310
247,117169,109560
248,106402,56428
249,110671,131957
250,110632,241
251,110737,9058
252,110729,527
253,114151,18220
254,114069,6950
255,110413,101
256,114113,63020
257,114210,2307
258,110912,680
259,105652,25296
260,110889,40156
261,110932,11450
262,114129,30304
263,110963,10452
264,114214,12106
265,114296,161495
266,110907,3586
267,111495,110
268,108394,108
269,111507,109
270,114268,36357
271,110965,92769
272,114571,28033
273,111333,22586
274,111112,14334
275,111255,2636
276,111282,2164
277,111070,11395
278,111161,278
279,111149,9905
280,108260,87078
281,106966,12527
282,114594,20306
283,111309,36614
284,113936,27993
285,110081,31439
286,114614,9067
287,114608,9059
288,111280,193
289,114609,25066
290,111454,46797
291,114852,12122
292,114694,11381
293,111590,32636
294,114788,36141
295,114888,95963
296,108550,1587
297,114857,9271
298,114924,2064
299,111667,19855
300,109655,60855
301,110598,236
302,112435,48287
303,109040,3049
304,109045,2759
305,106339,12635
306,104779,10497
307,109348,11382
308,109444,9331
309,109446,10731
310,109484,10464
311,109504,34152
312,109506,9495
313,109450,29973
314,109813,888
315,109830,13
316,109831,712
317,113305,16295
318,110091,48992
319,110093,10879
320,110167,10660
321,110213,10714
322,107472,41647
323,110357,8587
324,107426,1689
325,111686,11596
326,110475,854
327,110478,9359
328,110588,23333
329,110622,36593
330,110771,12280
331,110950,2788
332,105226,10427
333,110989,11011
334,110997,8987
335,111257,1637
336,111256,15128
337,111438,8831
338,111503,36955
339,111693,10449
340,111742,10395
341,111756,12160
342,112443,40480
343,110455,52038
344,111048,29444
345,110399,26352
346,112570,39953
347,109454,41580
348,59170,315
349,110186,22067
350,111301,11667
351,110027,8011
352,109785,171857
353,113409,2654
354,109021,18069
355,109035,19092
356,106220,2758
357,106226,10436
358,109068,13595
359,109067,46094
360,106292,9409
361,109198,11853
362,109219,16771
363,106379,46924
364,106400,11041
365,109254,306
366,109279,14522
367,109297,26203
368,109303,178
369,109305,19819
370,109306,57834
371,106452,4722
372,106471,18215
373,106489,1607
374,109361,26391
375,106505,117553
376,106519,6075
377,109439,11310
378,109443,18658
379,106582,9350
380,106598,9612
381,109456,2124
382,109480,26261
383,109493,19176
384,106673,11566
385,106677,9571
386,106697,9739
387,106834,34444
388,106873,26141
389,106332,10997
390,106881,10443
391,106880,20239
392,111732,16297
393,106926,18551
394,111712,25440
395,106941,9024
396,106918,37233
397,106965,1634
398,109842,13815
399,106977,5503
400,107004,35588
401,109890,2087
402,109891,41579
403,109913,18620
404,107076,2019
405,107144,9255
406,113674,26271
407,112966,10612
408,107151,2259
409,110064,16097
410,110074,11934
411,110097,106143
412,110123,12475
413,107206,9386
414,107207,7984
415,110137,59930
416,108551,15765
417,110197,31643
418,107286,6
419,107290,329
420,107302,10909
421,110265,507
422,110305,29918
423,107362,9593
424,107413,42580
425,110353,22317
426,107468,1413
427,107478,12121
428,107497,2246
429,107501,10502
